trace,mmu,frames,no_events,reads,writes,fault_rate,time_sec
bzip.trace,rand,1,1000000,629737,118475,0.629737,0.9909568
bzip.trace,rand,2,1000000,241512,53900,0.241512,0.6415612
bzip.trace,rand,4,1000000,131648,37698,0.131648,0.547356
bzip.trace,rand,8,1000000,43891,16341,0.043891,0.4693534
bzip.trace,rand,16,1000000,4463,1478,0.004463,0.4392283
bzip.trace,rand,32,1000000,2619,861,0.002619,0.4340327
bzip.trace,rand,64,1000000,1591,553,0.001591,0.4321374
bzip.trace,rand,128,1000000,953,301,0.000953,0.4497761
bzip.trace,rand,256,1000000,415,63,0.000415,0.4408762
bzip.trace,rand,512,1000000,317,0,0.000317,0.4378648
bzip.trace,rand,1024,1000000,317,0,0.000317,0.4423618
bzip.trace,rand,2048,1000000,317,0,0.000317,0.4364011
bzip.trace,rand,4096,1000000,317,0,0.000317,0.4518044
bzip.trace,lru,1,1000000,629737,118475,0.629737,0.7407362
bzip.trace,lru,2,1000000,154429,44024,0.154429,0.5702001
bzip.trace,lru,4,1000000,92770,35650,0.09277,0.5263096
bzip.trace,lru,8,1000000,30691,11092,0.030691,0.4951605
bzip.trace,lru,16,1000000,3344,1069,0.003344,0.4895654
bzip.trace,lru,32,1000000,2133,702,0.002133,0.4747054
bzip.trace,lru,64,1000000,1264,420,0.001264,0.4729629
bzip.trace,lru,128,1000000,771,224,0.000771,0.4796992
bzip.trace,lru,256,1000000,397,48,0.000397,0.4797114
bzip.trace,lru,512,1000000,317,0,0.000317,0.481981
bzip.trace,lru,1024,1000000,317,0,0.000317,0.476907
bzip.trace,lru,2048,1000000,317,0,0.000317,0.4749145
bzip.trace,lru,4096,1000000,317,0,0.000317,0.4742507
bzip.trace,clock,1,1000000,629737,118475,0.629737,0.8324558
bzip.trace,clock,2,1000000,228838,54321,0.228838,0.6443082
bzip.trace,clock,4,1000000,111442,37740,0.111442,0.5704216
bzip.trace,clock,8,1000000,46164,17568,0.046164,0.5208519
bzip.trace,clock,16,1000000,3468,1128,0.003468,0.4931222
bzip.trace,clock,32,1000000,2203,734,0.002203,0.4721883
bzip.trace,clock,64,1000000,1318,443,0.001318,0.486135
bzip.trace,clock,128,1000000,802,235,0.000802,0.4867754
bzip.trace,clock,256,1000000,432,71,0.000432,0.4838832
bzip.trace,clock,512,1000000,317,0,0.000317,0.4866508
bzip.trace,clock,1024,1000000,317,0,0.000317,0.4912267
bzip.trace,clock,2048,1000000,317,0,0.000317,0.477906
bzip.trace,clock,4096,1000000,317,0,0.000317,0.4873959
gcc.trace,rand,1,1000000,716106,104942,0.716106,1.0321188
gcc.trace,rand,2,1000000,467159,76208,0.467159,0.8108876
gcc.trace,rand,4,1000000,316256,54558,0.316256,0.6817522
gcc.trace,rand,8,1000000,216829,37243,0.216829,0.6123799
gcc.trace,rand,16,1000000,150365,24837,0.150365,0.5566586
gcc.trace,rand,32,1000000,106709,17251,0.106709,0.5325125
gcc.trace,rand,64,1000000,75082,12243,0.075082,0.4956094
gcc.trace,rand,128,1000000,51267,8557,0.051267,0.4668591
gcc.trace,rand,256,1000000,31957,5755,0.031957,0.4497104
gcc.trace,rand,512,1000000,16219,3386,0.016219,0.4441306
gcc.trace,rand,1024,1000000,7182,1755,0.007182,0.4379228
gcc.trace,rand,2048,1000000,3444,522,0.003444,0.4415524
gcc.trace,rand,4096,1000000,2852,0,0.002852,0.4173443
gcc.trace,lru,1,1000000,716106,104942,0.716106,0.7465376
gcc.trace,lru,2,1000000,403955,74158,0.403955,0.631918
gcc.trace,lru,4,1000000,243809,43187,0.243809,0.6115074
gcc.trace,lru,8,1000000,171186,23983,0.171186,0.5482355
gcc.trace,lru,16,1000000,116604,14749,0.116604,0.5256933
gcc.trace,lru,32,1000000,84401,11737,0.084401,0.5095139
gcc.trace,lru,64,1000000,59089,8863,0.059089,0.4902673
gcc.trace,lru,128,1000000,40821,6131,0.040821,0.4837043
gcc.trace,lru,256,1000000,25308,4231,0.025308,0.479204
